id,Names,Latitude,Longitude,Address
1,BALADE AUTOUR DE BORVILLE,48.44780391,6.392882491,Rue des fro®res Bayard
2,ITIN‡RAIRE D‡COUVERTE AUTOUR DE GERB‡VILLER,48.59212183,6.841714382,13 Rue de l'Adjudant Cho®vre
3,CIRCUIT DE LA BLETTE,48.51583,6.802317,Rue de la Mairie Doopart du parking de l'ooglise
4,PROMENADE 3 FLIN DE LA CHAPELLE ‡ LA FOR‡äT DE MONDON,48.497295,6.655149,Rue des Vosges Doopart de la chapelle de Moonil-Flin
5,CIRCUIT PEDESTRE - BOUCLE DES ENTONNOIRS,48.59863,6.743472,Place de la Mairie
6,CIRCUIT DE LA CROIX COLLIN,48.54339725,6.972542015,Maison de la Foro™t Lieu-dit Norroy
7,CIRCUIT DU MOULIN ‡ VENT,48.44905091,6.737739406,2 rue Adrien Michaut Doopart de l'ho¥tel de ville
8,CIRCUIT DE LA MONCELLE,48.4493071,6.7375141,2 rue Adrien Michaut Doopart de l'ho¥tel de ville
9,CIRCUIT DU TERRAIN DE MANOEUVRE,48.44907226,6.737739406,2 rue Adrien Michaut Doopart de l'ho¥tel de ville
10,SENTIER DE D‡COUVERTE DU BEERENWEG,49.3997437,6.1024023,Acco®s par Oeutrange
11,LA FOR‡äT D'ACROBATES,43.4747606,3.53920442,Route de Montagnac Parc Doopartemental de Bessilles Parking Sud
12,Activital P‡¥le Activit‡s Terrestre et Nautique,47.186675,4.0693209,Base Activital des Settons
13,ITIN‡RAIRE D‡COUVERTE AUTOUR DE LAMATH,48.529151,6.447222,2 rue principale Doopart de parking pro®s de l'ooglise
14,V‡LOROUTE ET VOIE VERTE ‡ LA BRESSE,48.00208382,6.872763634,2A Rue des Proyes
15,BALADE RANDOLAND AU CENTRE VILLE ‡ LA BRESSE,48.00211056,6.873349656,2A Rue des Proyes
16,CIRCUIT POUSSETTE PROMENADE DE LA MOSELOTTE ‡ LA BRESSE,48.00258739,6.873484088,2A Rue des Proyes
17,CIRCUIT WALVING,49.04658897,6.502721608,D 74
18,BALADE AUTOUR DE SAINT-R‡MY-AUX-BOIS,48.4152784,6.392871762,Rue Bouillon
19,ITINERAIRE DECOUVERTE AUTOUR DE SERANVILLE,48.4570538,6.5157654,4 B  Grande Rue
20,V‡LOROUTE - VOIE VERTE DU S‡ÇNON,48.655061,6.488185,7 place de la Fontaine
21,CIRCUIT DE LA ROCHE DU DIABLE,48.54335298,6.972528302,"Maison de la Foro™t Lieu-dit ""Norroy"""
22,VAL DE MEURTHE - CIRCUIT VTT,48.5556567,6.4408254,Zone de Loisirs
23,ITIN‡RAIRE D‡COUVERTE AUTOUR DE FRAIMBOIS,48.52943428,6.542233495,Rue de l'ooglise
